observacao;valor_observado;valor_ajustado;residuo
1;0.1190;0.1441;-0.0251
2;0.1180;0.1573;-0.0393
3;0.0990;0.1325;-0.0335
4;0.1180;0.1764;-0.0584
5;0.2770;0.2061;0.0709
6;0.3580;0.1318;0.2262
7;0.0800;0.1320;-0.0520
8;0.1580;0.1690;-0.0110
9;0.3100;0.3100;0.0000
10;0.1050;0.1514;-0.0464
11;0.0730;0.1111;-0.0381
12;0.8320;0.8318;0.0002
13;0.5170;0.3825;0.1345
14;2.2520;1.9142;0.3378
15;0.8510;0.4435;0.4075
16;0.2690;0.3734;-0.1044
17;0.4330;1.1441;-0.7111
18;0.1410;0.1180;0.0230
19;0.2750;0.3525;-0.0775
20;0.1350;0.1203;0.0147
21;0.1750;0.1930;-0.0180
