observacao;valor_observado;valor_ajustado;residuo
1;0.1190;0.1663;-0.0473
2;0.1180;0.1578;-0.0398
3;0.0990;0.1550;-0.0560
4;0.1180;0.1700;-0.0520
5;0.2770;0.1550;0.1220
6;0.3580;0.1550;0.2030
7;0.0800;0.1567;-0.0767
8;0.1580;0.1640;-0.0060
9;0.3100;0.1601;0.1499
10;0.1050;0.1550;-0.0500
11;0.0730;0.1550;-0.0820
12;0.8320;0.7524;0.0796
13;0.5170;0.4070;0.1100
14;2.2520;1.9341;0.3179
15;0.8510;0.4329;0.4181
16;0.2690;0.3823;-0.1133
17;0.4330;1.1471;-0.7141
18;0.1410;0.1550;-0.0140
19;0.2750;0.3693;-0.0943
20;0.1350;0.1566;-0.0216
21;0.1750;0.2083;-0.0333
