observacao;valor_observado;valor_ajustado;residuo
1;0.1190;0.1558;-0.0368
2;0.1180;0.1588;-0.0408
3;0.0990;0.1445;-0.0455
4;0.1180;0.1913;-0.0733
5;0.2770;0.1747;0.1023
6;0.3580;0.1449;0.2131
7;0.0800;0.1475;-0.0675
8;0.1580;0.1619;-0.0039
9;0.3100;0.0621;0.2479
10;0.1050;0.1578;-0.0528
11;0.0730;0.1568;-0.0838
12;0.8320;0.7857;0.0463
13;0.5170;0.3999;0.1171
14;2.2520;1.9390;0.3130
15;0.8510;0.4061;0.4449
16;0.2690;0.3661;-0.0971
17;0.4330;1.1349;-0.7019
18;0.1410;0.1529;-0.0119
19;0.2750;0.3575;-0.0825
20;0.1350;0.1540;-0.0190
21;0.1750;0.1941;-0.0191
