observacao;valor_observado;valor_ajustado;residuo
1;7.4000;-237.3844;244.7844
2;14.8000;-219.9897;234.7897
3;29.6000;-185.2001;214.8001
4;59.2000;-115.6211;174.8211
5;88.8000;-46.0420;134.8420
6;296.0000;441.0115;-145.0115
7;444.0000;788.9069;-344.9069
8;592.0000;1136.8023;-544.8023
9;11.1000;-147.8668;158.9668
10;22.2000;-130.4721;152.6721
11;44.4000;-95.6825;140.0825
12;88.8000;-26.1034;114.9034
13;133.2000;43.4756;89.7244
14;444.0000;530.5292;-86.5292
15;666.0000;878.4245;-212.4245
16;888.0000;1226.3199;-338.3199
17;14.8000;-58.3492;73.1492
18;29.6000;-40.9544;70.5544
19;59.2000;-6.1649;65.3649
20;118.4000;63.4142;54.9858
21;177.6000;132.9932;44.6068
22;592.0000;620.0468;-28.0468
23;888.0000;967.9421;-79.9421
24;1184.0000;1315.8375;-131.8375
25;22.2000;120.6860;-98.4860
26;44.4000;138.0808;-93.6808
27;88.8000;172.8703;-84.0703
28;177.6000;242.4494;-64.8494
29;266.4000;312.0285;-45.6285
30;888.0000;799.0820;88.9180
31;1332.0000;1146.9774;185.0226
32;1776.0000;1494.8728;281.1272
33;29.6000;299.7213;-270.1213
34;59.2000;317.1160;-257.9160
35;118.4000;351.9056;-233.5056
36;236.8000;421.4847;-184.6847
37;355.2000;491.0637;-135.8637
38;1184.0000;978.1173;205.8827
39;1776.0000;1326.0126;449.9874
40;2368.0000;1673.9080;694.0920
41;1776.0000;1326.0126;449.9874
42;266.4000;312.0285;-45.6285
43;666.0000;878.4245;-212.4245
44;592.0000;1136.8023;-544.8023
45;177.6000;132.9932;44.6068
46;1776.0000;1326.0126;449.9874
47;59.2000;-6.1649;65.3649
48;888.0000;967.9421;-79.9421
49;44.4000;-95.6825;140.0825
50;44.4000;-95.6825;140.0825
51;1184.0000;1315.8375;-131.8375
52;236.8000;421.4847;-184.6847
53;2368.0000;1673.9080;694.0920
54;1184.0000;1315.8375;-131.8375
55;29.6000;-185.2001;214.8001
56;592.0000;620.0468;-28.0468
57;14.8000;-219.9897;234.7897
58;1184.0000;1315.8375;-131.8375
59;888.0000;799.0820;88.9180
60;1184.0000;978.1173;205.8827
61;14.8000;-219.9897;234.7897
62;177.6000;132.9932;44.6068
63;29.6000;299.7213;-270.1213
64;88.8000;-26.1034;114.9034
65;592.0000;620.0468;-28.0468
66;22.2000;120.6860;-98.4860
67;88.8000;172.8703;-84.0703
68;177.6000;242.4494;-64.8494
69;888.0000;1226.3199;-338.3199
70;666.0000;878.4245;-212.4245
71;29.6000;-185.2001;214.8001
72;355.2000;491.0637;-135.8637
73;444.0000;788.9069;-344.9069
74;177.6000;132.9932;44.6068
75;11.1000;-147.8668;158.9668
76;1776.0000;1326.0126;449.9874
77;29.6000;-40.9544;70.5544
78;59.2000;-115.6211;174.8211
79;22.2000;120.6860;-98.4860
80;444.0000;530.5292;-86.5292
81;11.1000;-147.8668;158.9668
82;44.4000;138.0808;-93.6808
83;14.8000;-219.9897;234.7897
84;118.4000;63.4142;54.9858
85;177.6000;242.4494;-64.8494
86;444.0000;788.9069;-344.9069
87;592.0000;1136.8023;-544.8023
88;118.4000;351.9056;-233.5056
89;444.0000;530.5292;-86.5292
90;14.8000;-58.3492;73.1492
91;236.8000;421.4847;-184.6847
92;2368.0000;1673.9080;694.0920
93;59.2000;-115.6211;174.8211
94;14.8000;-219.9897;234.7897
95;296.0000;441.0115;-145.0115
96;59.2000;-115.6211;174.8211
97;266.4000;312.0285;-45.6285
98;29.6000;-40.9544;70.5544
99;44.4000;138.0808;-93.6808
100;59.2000;317.1160;-257.9160
101;22.2000;-130.4721;152.6721
102;236.8000;421.4847;-184.6847
103;444.0000;530.5292;-86.5292
104;1332.0000;1146.9774;185.0226
105;666.0000;878.4245;-212.4245
106;592.0000;1136.8023;-544.8023
107;444.0000;530.5292;-86.5292
108;888.0000;967.9421;-79.9421
109;2368.0000;1673.9080;694.0920
110;177.6000;132.9932;44.6068
111;888.0000;1226.3199;-338.3199
112;29.6000;-40.9544;70.5544
113;1184.0000;1315.8375;-131.8375
114;44.4000;138.0808;-93.6808
115;22.2000;120.6860;-98.4860
116;266.4000;312.0285;-45.6285
117;666.0000;878.4245;-212.4245
118;7.4000;-237.3844;244.7844
119;22.2000;120.6860;-98.4860
120;444.0000;788.9069;-344.9069
121;11.1000;-147.8668;158.9668
122;1184.0000;1315.8375;-131.8375
123;7.4000;-237.3844;244.7844
124;592.0000;1136.8023;-544.8023
125;1184.0000;1315.8375;-131.8375
126;44.4000;-95.6825;140.0825
127;14.8000;-58.3492;73.1492
128;592.0000;1136.8023;-544.8023
129;118.4000;351.9056;-233.5056
130;118.4000;351.9056;-233.5056
131;29.6000;299.7213;-270.1213
132;88.8000;-46.0420;134.8420
133;1776.0000;1326.0126;449.9874
134;177.6000;242.4494;-64.8494
135;444.0000;788.9069;-344.9069
136;11.1000;-147.8668;158.9668
137;592.0000;1136.8023;-544.8023
138;88.8000;-26.1034;114.9034
139;59.2000;317.1160;-257.9160
140;29.6000;299.7213;-270.1213
141;888.0000;967.9421;-79.9421
142;1184.0000;1315.8375;-131.8375
143;355.2000;491.0637;-135.8637
144;118.4000;351.9056;-233.5056
145;2368.0000;1673.9080;694.0920
146;592.0000;620.0468;-28.0468
147;88.8000;172.8703;-84.0703
148;118.4000;351.9056;-233.5056
149;7.4000;-237.3844;244.7844
150;118.4000;351.9056;-233.5056
151;355.2000;491.0637;-135.8637
152;444.0000;530.5292;-86.5292
153;29.6000;-185.2001;214.8001
154;7.4000;-237.3844;244.7844
155;88.8000;-46.0420;134.8420
156;44.4000;138.0808;-93.6808
157;444.0000;530.5292;-86.5292
158;1776.0000;1326.0126;449.9874
159;88.8000;172.8703;-84.0703
160;11.1000;-147.8668;158.9668
161;666.0000;878.4245;-212.4245
162;666.0000;878.4245;-212.4245
163;44.4000;138.0808;-93.6808
164;133.2000;43.4756;89.7244
165;1776.0000;1494.8728;281.1272
166;1776.0000;1326.0126;449.9874
167;1776.0000;1494.8728;281.1272
168;59.2000;-115.6211;174.8211
169;888.0000;799.0820;88.9180
170;355.2000;491.0637;-135.8637
171;888.0000;967.9421;-79.9421
172;1776.0000;1326.0126;449.9874
173;666.0000;878.4245;-212.4245
174;266.4000;312.0285;-45.6285
175;236.8000;421.4847;-184.6847
176;133.2000;43.4756;89.7244
177;1776.0000;1494.8728;281.1272
178;444.0000;788.9069;-344.9069
179;592.0000;620.0468;-28.0468
180;177.6000;242.4494;-64.8494
181;14.8000;-219.9897;234.7897
182;296.0000;441.0115;-145.0115
183;177.6000;242.4494;-64.8494
184;177.6000;242.4494;-64.8494
185;118.4000;63.4142;54.9858
186;888.0000;799.0820;88.9180
187;44.4000;-95.6825;140.0825
188;177.6000;242.4494;-64.8494
189;22.2000;120.6860;-98.4860
190;1776.0000;1326.0126;449.9874
191;29.6000;299.7213;-270.1213
192;7.4000;-237.3844;244.7844
193;88.8000;172.8703;-84.0703
194;133.2000;43.4756;89.7244
195;29.6000;-185.2001;214.8001
196;1776.0000;1326.0126;449.9874
197;296.0000;441.0115;-145.0115
198;592.0000;1136.8023;-544.8023
199;88.8000;172.8703;-84.0703
200;11.1000;-147.8668;158.9668
201;355.2000;491.0637;-135.8637
202;29.6000;299.7213;-270.1213
203;1184.0000;1315.8375;-131.8375
204;666.0000;878.4245;-212.4245
205;1776.0000;1494.8728;281.1272
206;1776.0000;1494.8728;281.1272
