observacao;valor_observado;valor_ajustado;residuo
1;7.4000;243.6502;-236.2502
2;14.8000;243.6502;-228.8502
3;29.6000;243.6502;-214.0502
4;59.2000;243.6502;-184.4502
5;88.8000;243.6502;-154.8502
6;296.0000;243.6502;52.3498
7;444.0000;243.6502;200.3498
8;592.0000;243.6502;348.3498
9;11.1000;319.8881;-308.7881
10;22.2000;319.8881;-297.6881
11;44.4000;319.8881;-275.4881
12;88.8000;319.8881;-231.0881
13;133.2000;319.8881;-186.6881
14;444.0000;319.8881;124.1119
15;666.0000;319.8881;346.1119
16;888.0000;319.8881;568.1119
17;14.8000;396.1259;-381.3259
18;29.6000;396.1259;-366.5259
19;59.2000;396.1259;-336.9259
20;118.4000;396.1259;-277.7259
21;177.6000;396.1259;-218.5259
22;592.0000;396.1259;195.8741
23;888.0000;396.1259;491.8741
24;1184.0000;396.1259;787.8741
25;22.2000;548.6016;-526.4016
26;44.4000;548.6016;-504.2016
27;88.8000;548.6016;-459.8016
28;177.6000;548.6016;-371.0016
29;266.4000;548.6016;-282.2016
30;888.0000;548.6016;339.3984
31;1332.0000;548.6016;783.3984
32;1776.0000;548.6016;1227.3984
33;29.6000;701.0774;-671.4774
34;59.2000;701.0774;-641.8774
35;118.4000;701.0774;-582.6774
36;236.8000;701.0774;-464.2774
37;355.2000;701.0774;-345.8774
38;1184.0000;701.0774;482.9226
39;1776.0000;701.0774;1074.9226
40;2368.0000;701.0774;1666.9226
41;1776.0000;701.0774;1074.9226
42;266.4000;548.6016;-282.2016
43;666.0000;319.8881;346.1119
44;592.0000;243.6502;348.3498
45;177.6000;396.1259;-218.5259
46;1776.0000;701.0774;1074.9226
47;59.2000;396.1259;-336.9259
48;888.0000;396.1259;491.8741
49;44.4000;319.8881;-275.4881
50;44.4000;319.8881;-275.4881
51;1184.0000;396.1259;787.8741
52;236.8000;701.0774;-464.2774
53;2368.0000;701.0774;1666.9226
54;1184.0000;396.1259;787.8741
55;29.6000;243.6502;-214.0502
56;592.0000;396.1259;195.8741
57;14.8000;243.6502;-228.8502
58;1184.0000;396.1259;787.8741
59;888.0000;548.6016;339.3984
60;1184.0000;701.0774;482.9226
61;14.8000;243.6502;-228.8502
62;177.6000;396.1259;-218.5259
63;29.6000;701.0774;-671.4774
64;88.8000;319.8881;-231.0881
65;592.0000;396.1259;195.8741
66;22.2000;548.6016;-526.4016
67;88.8000;548.6016;-459.8016
68;177.6000;548.6016;-371.0016
69;888.0000;319.8881;568.1119
70;666.0000;319.8881;346.1119
71;29.6000;243.6502;-214.0502
72;355.2000;701.0774;-345.8774
73;444.0000;243.6502;200.3498
74;177.6000;396.1259;-218.5259
75;11.1000;319.8881;-308.7881
76;1776.0000;701.0774;1074.9226
77;29.6000;396.1259;-366.5259
78;59.2000;243.6502;-184.4502
79;22.2000;548.6016;-526.4016
80;444.0000;319.8881;124.1119
81;11.1000;319.8881;-308.7881
82;44.4000;548.6016;-504.2016
83;14.8000;243.6502;-228.8502
84;118.4000;396.1259;-277.7259
85;177.6000;548.6016;-371.0016
86;444.0000;243.6502;200.3498
87;592.0000;243.6502;348.3498
88;118.4000;701.0774;-582.6774
89;444.0000;319.8881;124.1119
90;14.8000;396.1259;-381.3259
91;236.8000;701.0774;-464.2774
92;2368.0000;701.0774;1666.9226
93;59.2000;243.6502;-184.4502
94;14.8000;243.6502;-228.8502
95;296.0000;243.6502;52.3498
96;59.2000;243.6502;-184.4502
97;266.4000;548.6016;-282.2016
98;29.6000;396.1259;-366.5259
99;44.4000;548.6016;-504.2016
100;59.2000;701.0774;-641.8774
101;22.2000;319.8881;-297.6881
102;236.8000;701.0774;-464.2774
103;444.0000;319.8881;124.1119
104;1332.0000;548.6016;783.3984
105;666.0000;319.8881;346.1119
106;592.0000;243.6502;348.3498
107;444.0000;319.8881;124.1119
108;888.0000;396.1259;491.8741
109;2368.0000;701.0774;1666.9226
110;177.6000;396.1259;-218.5259
111;888.0000;319.8881;568.1119
112;29.6000;396.1259;-366.5259
113;1184.0000;396.1259;787.8741
114;44.4000;548.6016;-504.2016
115;22.2000;548.6016;-526.4016
116;266.4000;548.6016;-282.2016
117;666.0000;319.8881;346.1119
118;7.4000;243.6502;-236.2502
119;22.2000;548.6016;-526.4016
120;444.0000;243.6502;200.3498
121;11.1000;319.8881;-308.7881
122;1184.0000;396.1259;787.8741
123;7.4000;243.6502;-236.2502
124;592.0000;243.6502;348.3498
125;1184.0000;396.1259;787.8741
126;44.4000;319.8881;-275.4881
127;14.8000;396.1259;-381.3259
128;592.0000;243.6502;348.3498
129;118.4000;701.0774;-582.6774
130;118.4000;701.0774;-582.6774
131;29.6000;701.0774;-671.4774
132;88.8000;243.6502;-154.8502
133;1776.0000;701.0774;1074.9226
134;177.6000;548.6016;-371.0016
135;444.0000;243.6502;200.3498
136;11.1000;319.8881;-308.7881
137;592.0000;243.6502;348.3498
138;88.8000;319.8881;-231.0881
139;59.2000;701.0774;-641.8774
140;29.6000;701.0774;-671.4774
141;888.0000;396.1259;491.8741
142;1184.0000;396.1259;787.8741
143;355.2000;701.0774;-345.8774
144;118.4000;701.0774;-582.6774
145;2368.0000;701.0774;1666.9226
146;592.0000;396.1259;195.8741
147;88.8000;548.6016;-459.8016
148;118.4000;701.0774;-582.6774
149;7.4000;243.6502;-236.2502
150;118.4000;701.0774;-582.6774
151;355.2000;701.0774;-345.8774
152;444.0000;319.8881;124.1119
153;29.6000;243.6502;-214.0502
154;7.4000;243.6502;-236.2502
155;88.8000;243.6502;-154.8502
156;44.4000;548.6016;-504.2016
157;444.0000;319.8881;124.1119
158;1776.0000;701.0774;1074.9226
159;88.8000;548.6016;-459.8016
160;11.1000;319.8881;-308.7881
161;666.0000;319.8881;346.1119
162;666.0000;319.8881;346.1119
163;44.4000;548.6016;-504.2016
164;133.2000;319.8881;-186.6881
165;1776.0000;548.6016;1227.3984
166;1776.0000;701.0774;1074.9226
167;1776.0000;548.6016;1227.3984
168;59.2000;243.6502;-184.4502
169;888.0000;548.6016;339.3984
170;355.2000;701.0774;-345.8774
171;888.0000;396.1259;491.8741
172;1776.0000;701.0774;1074.9226
173;666.0000;319.8881;346.1119
174;266.4000;548.6016;-282.2016
175;236.8000;701.0774;-464.2774
176;133.2000;319.8881;-186.6881
177;1776.0000;548.6016;1227.3984
178;444.0000;243.6502;200.3498
179;592.0000;396.1259;195.8741
180;177.6000;548.6016;-371.0016
181;14.8000;243.6502;-228.8502
