observacao;valor_observado;valor_ajustado;residuo
1;7.4000;63.9672;-56.5672
2;14.8000;79.1540;-64.3540
3;29.6000;109.5275;-79.9275
4;59.2000;170.2746;-111.0746
5;88.8000;231.0217;-142.2217
6;296.0000;656.2513;-360.2513
7;444.0000;959.9867;-515.9867
8;592.0000;1263.7222;-671.7222
9;11.1000;88.3574;-77.2574
10;22.2000;103.5442;-81.3442
11;44.4000;133.9177;-89.5177
12;88.8000;194.6648;-105.8648
13;133.2000;255.4119;-122.2119
14;444.0000;680.6415;-236.6415
15;666.0000;984.3769;-318.3769
16;888.0000;1288.1124;-400.1124
17;14.8000;112.7477;-97.9477
18;29.6000;127.9344;-98.3344
19;59.2000;158.3080;-99.1080
20;118.4000;219.0551;-100.6551
21;177.6000;279.8021;-102.2021
22;592.0000;705.0317;-113.0317
23;888.0000;1008.7672;-120.7672
24;1184.0000;1312.5026;-128.5026
25;22.2000;161.5281;-139.3281
26;44.4000;176.7149;-132.3149
27;88.8000;207.0884;-118.2884
28;177.6000;267.8355;-90.2355
29;266.4000;328.5826;-62.1826
30;888.0000;753.8122;134.1878
31;1332.0000;1057.5476;274.4524
32;1776.0000;1361.2830;414.7170
33;29.6000;210.3085;-180.7085
34;59.2000;225.4953;-166.2953
35;118.4000;255.8688;-137.4688
36;236.8000;316.6159;-79.8159
37;355.2000;377.3630;-22.1630
38;1184.0000;802.5926;381.4074
39;1776.0000;1106.3280;669.6720
40;2368.0000;1410.0635;957.9365
41;1776.0000;1106.3280;669.6720
42;266.4000;328.5826;-62.1826
43;666.0000;984.3769;-318.3769
44;592.0000;1263.7222;-671.7222
45;177.6000;279.8021;-102.2021
46;1776.0000;1106.3280;669.6720
47;59.2000;158.3080;-99.1080
48;888.0000;1008.7672;-120.7672
49;44.4000;133.9177;-89.5177
50;44.4000;133.9177;-89.5177
51;1184.0000;1312.5026;-128.5026
52;236.8000;316.6159;-79.8159
53;2368.0000;1410.0635;957.9365
54;1184.0000;1312.5026;-128.5026
55;29.6000;109.5275;-79.9275
56;592.0000;705.0317;-113.0317
57;14.8000;79.1540;-64.3540
58;1184.0000;1312.5026;-128.5026
59;888.0000;753.8122;134.1878
60;1184.0000;802.5926;381.4074
61;14.8000;79.1540;-64.3540
62;177.6000;279.8021;-102.2021
63;29.6000;210.3085;-180.7085
64;88.8000;194.6648;-105.8648
65;592.0000;705.0317;-113.0317
66;22.2000;161.5281;-139.3281
67;88.8000;207.0884;-118.2884
68;177.6000;267.8355;-90.2355
69;888.0000;1288.1124;-400.1124
70;666.0000;984.3769;-318.3769
71;29.6000;109.5275;-79.9275
72;355.2000;377.3630;-22.1630
73;444.0000;959.9867;-515.9867
74;177.6000;279.8021;-102.2021
75;11.1000;88.3574;-77.2574
76;1776.0000;1106.3280;669.6720
77;29.6000;127.9344;-98.3344
78;59.2000;170.2746;-111.0746
79;22.2000;161.5281;-139.3281
80;444.0000;680.6415;-236.6415
81;11.1000;88.3574;-77.2574
82;44.4000;176.7149;-132.3149
83;14.8000;79.1540;-64.3540
84;118.4000;219.0551;-100.6551
85;177.6000;267.8355;-90.2355
86;444.0000;959.9867;-515.9867
87;592.0000;1263.7222;-671.7222
88;118.4000;255.8688;-137.4688
89;444.0000;680.6415;-236.6415
90;14.8000;112.7477;-97.9477
91;236.8000;316.6159;-79.8159
92;2368.0000;1410.0635;957.9365
93;59.2000;170.2746;-111.0746
94;14.8000;79.1540;-64.3540
95;296.0000;656.2513;-360.2513
96;59.2000;170.2746;-111.0746
97;266.4000;328.5826;-62.1826
98;29.6000;127.9344;-98.3344
99;44.4000;176.7149;-132.3149
100;59.2000;225.4953;-166.2953
101;22.2000;103.5442;-81.3442
102;236.8000;316.6159;-79.8159
103;444.0000;680.6415;-236.6415
104;1332.0000;1057.5476;274.4524
105;666.0000;984.3769;-318.3769
106;592.0000;1263.7222;-671.7222
107;444.0000;680.6415;-236.6415
108;888.0000;1008.7672;-120.7672
109;2368.0000;1410.0635;957.9365
110;177.6000;279.8021;-102.2021
111;888.0000;1288.1124;-400.1124
112;29.6000;127.9344;-98.3344
113;1184.0000;1312.5026;-128.5026
114;44.4000;176.7149;-132.3149
115;22.2000;161.5281;-139.3281
116;266.4000;328.5826;-62.1826
117;666.0000;984.3769;-318.3769
118;7.4000;63.9672;-56.5672
119;22.2000;161.5281;-139.3281
120;444.0000;959.9867;-515.9867
121;11.1000;88.3574;-77.2574
122;1184.0000;1312.5026;-128.5026
123;7.4000;63.9672;-56.5672
124;592.0000;1263.7222;-671.7222
125;1184.0000;1312.5026;-128.5026
126;44.4000;133.9177;-89.5177
127;14.8000;112.7477;-97.9477
128;592.0000;1263.7222;-671.7222
129;118.4000;255.8688;-137.4688
130;118.4000;255.8688;-137.4688
131;29.6000;210.3085;-180.7085
132;88.8000;231.0217;-142.2217
133;1776.0000;1106.3280;669.6720
134;177.6000;267.8355;-90.2355
135;444.0000;959.9867;-515.9867
136;11.1000;88.3574;-77.2574
137;592.0000;1263.7222;-671.7222
138;88.8000;194.6648;-105.8648
139;59.2000;225.4953;-166.2953
140;29.6000;210.3085;-180.7085
141;888.0000;1008.7672;-120.7672
142;1184.0000;1312.5026;-128.5026
143;355.2000;377.3630;-22.1630
144;118.4000;255.8688;-137.4688
145;2368.0000;1410.0635;957.9365
146;592.0000;705.0317;-113.0317
147;88.8000;207.0884;-118.2884
148;118.4000;255.8688;-137.4688
149;7.4000;63.9672;-56.5672
150;118.4000;255.8688;-137.4688
151;355.2000;377.3630;-22.1630
152;444.0000;680.6415;-236.6415
153;29.6000;109.5275;-79.9275
154;7.4000;63.9672;-56.5672
155;88.8000;231.0217;-142.2217
156;44.4000;176.7149;-132.3149
157;444.0000;680.6415;-236.6415
158;1776.0000;1106.3280;669.6720
159;88.8000;207.0884;-118.2884
160;11.1000;88.3574;-77.2574
161;666.0000;984.3769;-318.3769
162;666.0000;984.3769;-318.3769
163;44.4000;176.7149;-132.3149
164;133.2000;255.4119;-122.2119
165;1776.0000;1361.2830;414.7170
166;1776.0000;1106.3280;669.6720
167;1776.0000;1361.2830;414.7170
168;59.2000;170.2746;-111.0746
169;888.0000;753.8122;134.1878
170;355.2000;377.3630;-22.1630
171;888.0000;1008.7672;-120.7672
172;1776.0000;1106.3280;669.6720
173;666.0000;984.3769;-318.3769
174;266.4000;328.5826;-62.1826
175;236.8000;316.6159;-79.8159
176;133.2000;255.4119;-122.2119
177;1776.0000;1361.2830;414.7170
178;444.0000;959.9867;-515.9867
179;592.0000;705.0317;-113.0317
180;177.6000;267.8355;-90.2355
181;14.8000;79.1540;-64.3540
182;296.0000;656.2513;-360.2513
183;177.6000;267.8355;-90.2355
184;177.6000;267.8355;-90.2355
185;118.4000;219.0551;-100.6551
186;888.0000;753.8122;134.1878
187;44.4000;133.9177;-89.5177
188;177.6000;267.8355;-90.2355
189;22.2000;161.5281;-139.3281
190;1776.0000;1106.3280;669.6720
191;29.6000;210.3085;-180.7085
192;7.4000;63.9672;-56.5672
193;88.8000;207.0884;-118.2884
194;133.2000;255.4119;-122.2119
195;29.6000;109.5275;-79.9275
196;1776.0000;1106.3280;669.6720
197;296.0000;656.2513;-360.2513
198;592.0000;1263.7222;-671.7222
199;88.8000;207.0884;-118.2884
